Seed 0:
0 -865.90 
1 -289.49 
2 -336.43 
3 -128.30 
4 -195.30 
5 -277.71 
6 -144.19 
7 -79.75 
8 -143.94 
9 -200.93 
10 -120.66 
11 -179.26 
12 -191.26 
13 -143.64 
14 -179.33 
15 -141.67 
16 -117.73 
17 -145.48 
18 -107.02 
19 -123.16 
20 -97.73 
21 -106.81 
22 -151.45 
23 -171.53 
24 -105.35 
25 -163.62 
26 -148.90 
27 -124.97 
28 -131.86 
29 -136.62 
30 -70.33 
31 -151.81 
32 -72.35 
33 -18.63 
34 14.16 
35 -29.42 
36 22.46 
37 7.28 
38 13.67 
39 27.42 
40 38.24 
41 39.77 
42 18.31 
43 42.17 
44 25.69 
45 16.01 
46 -8.09 
47 26.88 
48 20.42 
49 54.13 
50 32.48 
51 67.68 
52 261.07 
53 27.80 
54 96.55 
55 131.83 
56 39.74 
57 76.74 
58 28.78 
59 105.67 
60 9.45 
61 140.42 
62 125.80 
63 257.95 
64 137.23 
65 197.47 
66 23.50 
67 116.20 
68 164.01 
69 156.89 
70 142.14 
71 152.80 
72 154.78 
73 282.91 
74 251.98 
75 137.72 
76 158.24 
77 49.56 
78 149.63 
79 155.31 
80 175.69 
81 134.80 
82 156.75 
83 167.38 
84 141.69 
85 181.41 
86 169.45 
87 167.78 
88 153.86 
89 153.74 
90 155.16 
91 144.56 
92 165.90 
93 146.76 
94 57.37 
95 114.73 
96 178.53 
97 112.69 
98 127.56 
99 139.61 
100 142.00 
101 123.39 
102 143.69 
103 122.33 
104 132.93 
105 152.65 
106 123.96 
107 171.43 
108 134.52 
109 167.76 
110 143.35 
111 108.08 
112 170.31 
113 125.17 
114 190.39 
115 159.75 
116 175.56 
117 184.96 
118 181.81 
119 155.20 
120 140.47 
121 161.12 
122 167.96 
123 134.72 
124 158.73 
125 157.45 
126 163.82 
127 140.70 
128 160.78 
