Seed 0:
0 28.00 
1 33.00 
2 12.00 
3 45.00 
4 16.00 
5 32.00 
6 33.00 
7 53.00 
8 50.00 
9 19.00 
10 20.00 
11 25.00 
12 23.00 
13 9.00 
14 19.00 
15 38.00 
16 14.00 
17 18.00 
18 22.00 
19 36.00 
20 18.00 
21 39.00 
22 41.00 
23 46.00 
24 49.00 
25 18.00 
26 31.00 
27 23.00 
28 66.00 
29 12.00 
30 20.00 
31 14.00 
32 20.00 
33 32.00 
34 17.00 
35 49.00 
36 36.00 
37 82.00 
38 20.00 
39 18.00 
40 44.00 
41 29.00 
42 14.00 
43 21.00 
44 25.00 
45 13.00 
46 17.00 
47 29.00 
48 33.00 
49 26.00 
50 15.00 
51 21.00 
52 15.00 
53 38.00 
54 27.00 
