Seed 0:
0 16.00 
1 32.00 
2 21.00 
3 11.00 
4 37.00 
5 37.00 
6 18.00 
7 11.00 
8 24.00 
9 16.00 
10 24.00 
11 17.00 
12 30.00 
13 22.00 
14 27.00 
15 29.00 
16 44.00 
17 32.00 
18 24.00 
19 33.00 
20 11.00 
21 38.00 
22 23.00 
23 18.00 
24 17.00 
25 25.00 
26 18.00 
27 16.00 
28 28.00 
29 12.00 
30 54.00 
31 33.00 
32 28.00 
33 21.00 
34 16.00 
35 31.00 
36 21.00 
37 18.00 
38 14.00 
39 40.00 
40 37.00 
41 22.00 
42 19.00 
43 25.00 
44 21.00 
45 38.00 
46 60.00 
47 15.00 
48 19.00 
49 43.00 
50 25.00 
51 31.00 
52 15.00 
53 10.00 
54 16.00 
55 17.00 
56 17.00 
57 38.00 
58 20.00 
59 24.00 
60 32.00 
61 24.00 
62 36.00 
63 38.00 
64 17.00 
65 38.00 
