Seed 0:
0 -184.44 
1 -68.18 
2 -99.29 
3 87.17 
4 -133.04 
5 -54.62 
6 -211.68 
7 -241.37 
8 -33.10 
9 277.95 
10 250.19 
11 298.76 
12 288.93 
13 210.77 
14 395.36 
15 252.51 
16 353.23 
17 334.41 
18 375.28 
19 415.74 
20 383.77 
21 393.90 
22 363.34 
23 384.56 
24 325.60 
25 285.69 
26 314.44 
27 367.22 
28 246.83 
29 242.83 
30 305.27 
31 365.60 
32 393.57 
33 461.47 
34 363.06 
35 392.90 
36 457.16 
37 327.63 
38 363.40 
39 411.44 
40 453.53 
41 404.09 
42 488.63 
43 409.88 
44 411.90 
45 469.01 
46 549.24 
47 519.67 
48 563.09 
49 550.42 
50 820.98 
51 526.75 
52 838.36 
53 756.11 
54 655.03 
55 755.82 
56 582.97 
57 567.73 
58 740.17 
59 805.75 
60 762.25 
61 760.07 
62 912.50 
63 882.40 
64 883.90 
