Seed 0:
0 10.00 
1 11.00 
2 9.00 
3 11.00 
4 10.00 
5 11.00 
6 10.00 
7 10.00 
8 10.00 
9 12.00 
10 10.00 
11 11.00 
12 12.00 
13 12.00 
14 12.00 
15 13.00 
16 11.00 
17 18.00 
18 152.00 
19 38.00 
20 42.00 
21 32.00 
22 35.00 
23 84.00 
24 100.00 
25 112.00 
26 82.00 
27 110.00 
28 82.00 
29 135.00 
30 122.00 
31 94.00 
32 84.00 
33 192.00 
34 228.00 
35 145.00 
36 222.00 
37 1000.00 
38 138.00 
39 1000.00 
40 1000.00 
41 1000.00 
42 1000.00 
43 1000.00 
44 420.00 
45 1000.00 
46 1000.00 
47 1000.00 
48 15.00 
49 1000.00 
50 1000.00 
51 92.00 
52 1000.00 
53 655.00 
54 1000.00 
55 1000.00 
56 1000.00 
57 1000.00 
58 1000.00 
59 1000.00 
60 1000.00 
61 1000.00 
62 1000.00 
63 1000.00 
64 1000.00 
65 1000.00 
66 1000.00 
67 1000.00 
68 1000.00 
69 1000.00 
70 1000.00 
71 1000.00 
72 1000.00 
73 1000.00 
74 1000.00 
75 1000.00 
76 1000.00 
77 1000.00 
78 1000.00 
79 1000.00 
80 1000.00 
81 1000.00 
82 1000.00 
83 1000.00 
84 1000.00 
85 1000.00 
86 1000.00 
87 1000.00 
88 1000.00 
89 1000.00 
90 1000.00 
91 1000.00 
92 1000.00 
93 1000.00 
94 1000.00 
95 1000.00 
96 1000.00 
97 1000.00 
98 1000.00 
99 1000.00 
100 1000.00 
Seed 1:
0 13.00 
1 12.00 
2 8.00 
3 11.00 
4 7.00 
5 10.00 
6 9.00 
7 10.00 
8 8.00 
9 30.00 
10 25.00 
11 23.00 
12 68.00 
13 49.00 
14 170.00 
15 67.00 
16 59.00 
17 41.00 
18 34.00 
19 50.00 
20 65.00 
21 105.00 
22 78.00 
23 87.00 
24 35.00 
25 74.00 
26 195.00 
27 41.00 
28 48.00 
29 75.00 
30 45.00 
31 68.00 
32 67.00 
33 76.00 
