Seed 0:
0 18.16 
1 -2.03 
2 22.75 
3 11.88 
4 15.05 
5 22.05 
6 24.56 
7 13.41 
8 9.04 
9 32.16 
10 -11.39 
11 41.70 
12 43.41 
13 43.31 
14 54.28 
15 40.31 
16 40.87 
17 39.37 
18 21.74 
19 20.58 
20 11.57 
21 71.67 
22 35.76 
23 237.33 
24 29.07 
25 -13.68 
26 6.16 
27 22.70 
28 20.03 
29 1.37 
30 301.28 
31 141.32 
32 70.44 
33 51.54 
34 73.90 
35 131.53 
36 106.51 
37 87.89 
38 264.33 
39 234.76 
40 332.48 
41 329.68 
42 316.78 
43 256.35 
44 315.72 
45 331.45 
46 329.28 
47 330.82 
48 330.92 
49 326.87 
