Seed 0:
0 12.00 
1 11.00 
2 13.00 
3 22.00 
4 15.00 
5 34.00 
6 16.00 
7 32.00 
8 13.00 
9 13.00 
10 18.00 
11 32.00 
12 34.00 
13 22.00 
14 36.00 
15 48.00 
16 56.00 
17 29.00 
18 17.00 
19 47.00 
20 40.00 
21 30.00 
22 46.00 
23 93.00 
24 158.00 
25 80.00 
26 106.00 
27 107.00 
28 137.00 
29 74.00 
30 78.00 
31 138.00 
32 92.00 
33 184.00 
34 129.00 
35 86.00 
36 352.00 
37 748.00 
38 527.00 
39 439.00 
40 1000.00 
41 835.00 
42 553.00 
43 1000.00 
44 325.00 
45 1000.00 
46 1000.00 
47 1000.00 
48 16.00 
49 1000.00 
50 1000.00 
51 455.00 
52 16.00 
53 1000.00 
54 1000.00 
55 1000.00 
56 1000.00 
57 1000.00 
58 1000.00 
59 1000.00 
60 1000.00 
61 1000.00 
62 1000.00 
63 1000.00 
64 1000.00 
65 1000.00 
66 1000.00 
67 1000.00 
68 1000.00 
69 1000.00 
70 1000.00 
71 1000.00 
72 1000.00 
73 1000.00 
74 1000.00 
75 1000.00 
76 1000.00 
77 1000.00 
78 1000.00 
79 1000.00 
80 1000.00 
81 1000.00 
82 1000.00 
83 1000.00 
84 1000.00 
85 1000.00 
86 1000.00 
87 1000.00 
88 1000.00 
89 1000.00 
90 1000.00 
91 1000.00 
92 1000.00 
93 1000.00 
94 1000.00 
95 1000.00 
96 1000.00 
97 1000.00 
98 1000.00 
99 1000.00 
100 1000.00 
Seed 1:
0 27.00 
1 25.00 
2 20.00 
3 21.00 
4 18.00 
5 19.00 
6 25.00 
7 35.00 
8 42.00 
9 19.00 
10 19.00 
11 9.00 
12 21.00 
13 13.00 
14 22.00 
15 25.00 
16 18.00 
17 20.00 
18 19.00 
19 21.00 
20 31.00 
21 308.00 
22 1000.00 
23 1000.00 
24 1000.00 
25 1000.00 
26 175.00 
27 814.00 
28 1000.00 
29 1000.00 
30 1000.00 
